Idcode,aplt2010,acos2010,aper2010,aper10%,prod2010,rend2010,prec2010,valo2010,POBTOT10,Pob_rur10,Pob_rur%,P5_HLI10,P5_HL%I10,Categorie
14003,6806,6806,0,0,42524.37,6.25,2460.1,104614.2,21714,6202,28.6,17,0.08,6.01-7
14036,7083,7083,0,0,44622.64,6.3,2503.8,111726.22,18632,5119,27.5,21,0.11,6.01-7
14090,2400,2349,51,2.1,14813.08,6.31,2900,42957.93,7051,2340,33.2,17,0.24,6.01-7
14098,1684,1684,0,0,10630.02,6.31,3108.28,33041.05,608114,7146,1.2,3175,0.52,6.01-7
14075,3090,3090,0,0,19562.81,6.33,2527.17,49438.52,3762,379,10.1,1,0.03,6.01-7
16042,2200,2200,0,0,14081.63,6.4,2900,40836.72,13584,9011,66.3,21,0.15,6.01-7
14009,1450,1450,0,0,9309,6.42,2525,23505.22,17545,3394,19.3,25,0.14,6.01-7
14030,1920,1842,78,4.1,11827.78,6.42,3018.96,35707.61,48839,4547,9.3,135,0.28,6.01-7
14078,117,117,0,0,751.14,6.42,2100,1577.39,31166,7184,23.1,103,0.33,6.01-7
16043,550,250,300,54.5,1605,6.42,2900,4654.5,64011,4119,6.4,677,1.06,6.01-7
16108,4850,4850,0,0,31137,6.42,2900,90297.3,186102,20076,10.8,1211,0.65,6.01-7
16030,2000,1492,508,25.4,9664.85,6.48,2900,28028.06,12855,8139,63.3,31,0.24,6.01-7
14058,7740,7520,220,2.8,49267.08,6.55,2859.13,140861.11,14245,5444,38.2,15,0.11,6.01-7
14065,5722,5722,0,0,37694.05,6.59,2950,111197.43,12119,5281,43.6,14,0.12,6.01-7
14087,5587,5587,0,0,37651.4,6.74,2950,111071.62,16847,4436,26.3,24,0.14,6.01-7
14015,1686,1686,0,0,11599.85,6.88,2562,29718.81,57559,12177,21.2,575,1,6.01-7
14033,8085,8085,0,0,55725.6,6.89,2984.26,166299.66,21132,9756,46.2,70,0.33,6.01-7
14018,23495,23495,0,0,168671.59,7.18,2990.85,504471.08,64269,26248,40.8,107,0.17,7.01-8
14006,11422,11352,70,0.6,82263.31,7.25,2900,238563.6,57340,18501,32.3,152,0.27,7.01-8
14120,13480,13480,0,0,97759.48,7.25,2905.3,284020.37,1243756,21005,1.7,12339,0.99,7.01-8
14047,13795,13795,0,0,100948.08,7.32,2986.1,301441.04,22881,2923,12.8,64,0.28,7.01-8
14029,12742.2,12742.2,0,0,95439.08,7.49,2901.96,276960.58,17795,13113,73.7,23,0.13,7.01-8
16023,1826,1506,320,17.5,11279.94,7.49,2900,32711.83,9975,3729,37.4,49,0.49,7.01-8
14045,9863.5,9863.5,0,0,74914.82,7.6,2900,217252.98,19005,12807,67.4,16,0.08,7.01-8
14097,13683.1,13083.1,600,4.4,99392.31,7.6,2836.7,281946.17,416626,42584,10.2,2035,0.49,7.01-8
14114,2311,2311,0,0,17748.57,7.68,2947.66,52316.76,16969,6748,39.8,26,0.15,7.01-8
14016,11540,11540,0,0,89470.19,7.75,2986.84,267232.95,38291,13367,34.9,59,0.15,7.01-8
14044,5550,5550,0,0,43588.59,7.85,3004.58,130965.27,41060,17283,42.1,150,0.37,7.01-8
14051,1839,1839,0,0,15098.88,8.21,2990.93,45159.74,13218,4085,30.9,24,0.18,8.01-9
14077,15888,15871,17,0.1,131640.45,8.29,2523.58,332204.81,26306,12331,46.9,37,0.14,8.01-9
14063,10865,10865,0,0,91430.43,8.42,2989.4,273322.05,92967,9198,9.9,195,0.21,8.01-9
14070,1525,1525,0,0,12895.75,8.46,2946.95,38003.08,138226,3718,2.7,476,0.34,8.01-9
14013,17405,17405,0,0,148620.86,8.54,2988.19,444106.95,57717,21787,37.7,122,0.21,8.01-9
14123,12215,12215,0,0,104304.67,8.54,2975.71,310380.33,17585,11746,66.8,8,0.05,8.01-9
14017,7915,7853.47,61.53,0.8,67225.7,8.56,3000,201677.11,12664,5420,42.8,14,0.11,8.01-9
14028,1905,1905,0,0,16306.8,8.56,3000,48920.4,2171,2171,100,0,0,8.01-9
14034,2310,2310,0,0,19773.6,8.56,3000,59320.8,2082,2082,100,0,0,8.01-9
14105,9650,9650,0,0,82612.56,8.56,2997.3,247614.26,21871,9355,42.8,14,0.06,8.01-9
14110,7801,7741,60,0.8,66262.96,8.56,3000,198788.88,13737,4702,34.2,13,0.09,8.01-9
14066,7303,7303,0,0,62556.48,8.57,3011.12,188365.11,48408,16220,33.5,61,0.13,8.01-9
2001,,,,,,,,,466814,68692,14.7,23266,4.98,NA
2002,,,,,,,,,936826,98710,10.5,3961,0.42,NA
2003,,,,,,,,,101079,21002,20.8,805,0.8,NA
2004,,,,,,,,,1559683,40229,2.6,11985,0.77,NA
2005,,,,,,,,,90668,14563,16.1,988,1.09,NA
3001,,,,,,,,,70816,15602,22,814,1.15,NA
3002,,,,,,,,,59114,20901,35.4,2993,5.06,NA
3003,,,,,,,,,251871,26849,10.7,2488,0.99,NA
3008,,,,,,,,,238487,22942,9.6,4069,1.71,NA
3009,,,,,,,,,16738,2014,12,297,1.77,NA
5001,,,,,,,,,1070,1070,100,3,0.28,NA
5002,,,,,,,,,136755,2522,1.8,483,0.35,NA
5009,,,,,,,,,55676,26389,47.4,70,0.13,NA
5012,,,,,,,,,2091,2091,100,9,0.43,NA
5013,,,,,,,,,1852,1852,100,1,0.05,NA
5014,,,,,,,,,9935,6809,68.5,14,0.14,NA
5015,,,,,,,,,1599,1599,100,2,0.13,NA
5016,,,,,,,,,1835,1835,100,0,0,NA
5017,,,,,,,,,107160,37358,34.9,94,0.09,NA
5019,,,,,,,,,8207,1368,16.7,11,0.13,NA
5022,,,,,,,,,27928,815,2.9,66,0.24,NA
5025,,,,,,,,,152806,2628,1.7,354,0.23,NA
5031,,,,,,,,,22149,1669,7.5,30,0.14,NA
5033,,,,,,,,,102650,43117,42,161,0.16,NA
5036,,,,,,,,,21319,17709,83.1,22,0.1,NA
5038,,,,,,,,,12702,2241,17.6,9,0.07,NA
6001,,,,,,,,,28695,3814,13.3,123,0.43,NA
